Date,Open_Price,Close_Price,High_Price,Low_Price,Volume,Daily_Return_Pct,Volatility_Range,VIX_Close,Economic_News_Flag,Sentiment_Score,Federal_Rate_Change_Flag,GeoPolitical_Risk_Score,Currency_Index
2000-02-09,72.96,73.85,74.24,71.78,6588793,1.2198,2.46,21.82,1,0.941,1,39.83,90.19
2000-02-10,73.85,71.5,74.48,70.72,3333379,-3.1821,3.76,19.34,0,0.96,1,3.58,108.46
2000-02-11,71.5,70.67,71.5,70.18,10553998,-1.1608,1.32,39.16,0,0.641,0,59.37,101.46
2000-02-14,70.67,70.47,71.59,68.69,6083064,-0.283,2.9,10.59,0,-0.814,1,43.85,96.95
2000-02-15,70.47,68.79,70.63,68.75,7670198,-2.384,1.88,30.96,0,-0.66,0,64.17,84.14
2000-02-16,68.79,68.05,69.18,66.45,4287958,-1.0757,2.73,25.31,0,0.117,1,4.59,93.5
2000-02-17,68.05,68.72,70.95,67.13,263290,0.9846,3.82,13.82,0,0.841,1,37.78,88.37
2000-02-18,68.72,67.81,69.18,67.56,9509567,-1.3242,1.62,24.82,1,0.179,1,73.96,117.89
2000-02-21,67.81,67.01,68.31,66.51,10989108,-1.1798,1.8,32.6,0,-0.95,1,53.63,86.53
2000-02-22,67.01,66.48,67.52,65.92,2242559,-0.7909,1.6,31.63,0,0.65,1,66.71,91.33
2000-02-23,66.48,67.03,68.65,65.36,12467385,0.8273,3.29,49.58,1,-0.794,0,78.39,93.7
2000-02-24,67.03,66.09,67.12,64.62,5574480,-1.4024,2.5,18.63,1,-0.153,1,72.04,93.12
2000-02-25,66.09,66.22,67.56,64.2,13137838,0.1967,3.36,41.89,1,0.776,1,15.05,90.31
2000-02-28,66.22,68.32,68.91,65.54,9253977,3.1712,3.37,44.64,1,-0.076,1,81.97,93.8
2000-02-29,68.32,69.05,70.22,67.51,14560213,1.0685,2.71,13.17,0,0.876,1,42.24,100.39
2000-03-01,69.05,67.52,69.35,67.42,14704638,-2.2158,1.93,10.6,0,-0.163,1,90.8,105.2
2000-03-02,67.52,67.73,68.66,66.83,10813373,0.311,1.83,15.51,1,-0.509,0,27.67,98.73
2000-03-03,67.73,67.81,68.07,67.46,3624051,0.1181,0.61,12.98,1,0.463,1,56.19,103.67
2000-03-06,67.81,67.57,67.96,66.67,2246869,-0.3539,1.29,46.58,1,-0.929,1,80.53,113.29
2000-03-07,67.57,67.46,68.0,66.36,16810687,-0.1628,1.64,13.06,0,-0.983,0,60.68,108.93
2000-03-08,67.46,67.71,67.91,66.56,17779091,0.3706,1.35,29.76,0,-0.845,1,46.35,93.59
2000-03-09,67.71,67.09,68.35,65.41,13299616,-0.9157,2.94,49.74,1,0.656,0,78.11,104.34
2000-03-10,67.09,66.11,67.64,65.5,12352419,-1.4607,2.14,25.37,1,-0.306,1,16.34,113.78
2000-03-13,66.11,66.76,67.04,65.14,14247959,0.9832,1.9,20.87,1,-0.974,1,42.14,91.32
2000-03-14,66.76,67.69,67.89,66.07,1382168,1.393,1.82,46.27,0,0.521,1,21.13,95.94
2000-03-15,67.69,69.1,70.66,65.85,13785377,2.083,4.81,29.33,0,-0.24,1,40.34,115.87
2000-03-16,69.1,69.6,69.7,67.98,10024037,0.7236,1.72,40.14,1,0.977,0,65.68,84.39
2000-03-17,69.6,69.09,71.14,67.92,19736720,-0.7328,3.22,27.82,0,-0.408,1,62.44,102.49
2000-03-20,69.09,69.95,70.02,68.8,16226251,1.2448,1.22,29.54,0,0.958,0,46.5,115.16
2000-03-21,69.95,68.57,71.03,67.34,700775,-1.9728,3.69,44.82,0,0.947,0,18.45,113.63
2000-03-22,68.57,68.98,69.56,68.53,15600962,0.5979,1.03,46.23,0,-0.308,0,25.13,87.83
2000-03-23,68.98,69.93,70.97,67.57,10909261,1.3772,3.4,19.37,0,0.808,1,76.72,111.22
2000-03-24,69.93,70.95,71.78,69.85,14411116,1.4586,1.93,32.62,0,-0.932,0,21.24,113.18
2000-03-27,70.95,73.1,74.82,70.52,8604804,3.0303,4.3,48.17,1,-0.866,1,22.34,108.77
2000-03-28,73.1,72.63,73.61,72.17,15285760,-0.643,1.44,47.31,1,0.421,0,97.96,94.84
2000-03-29,72.63,72.22,72.73,70.83,16539924,-0.5645,1.9,45.62,0,0.265,1,49.77,81.49
2000-03-30,72.22,72.38,72.92,72.0,1449850,0.2215,0.92,45.4,0,-0.73,0,74.85,96.5
2000-03-31,72.38,72.18,73.42,71.04,11101629,-0.2763,2.38,47.97,1,-0.764,0,22.01,90.17
2000-04-03,72.18,71.75,73.45,71.41,18727986,-0.5957,2.04,45.15,0,-0.272,0,12.07,88.21
2000-04-04,71.75,71.81,72.44,69.84,17172268,0.0836,2.6,33.34,0,-0.666,0,27.24,92.55
2000-04-05,71.81,72.63,74.5,71.16,11977210,1.1419,3.34,46.04,0,-0.221,1,29.13,85.02
2000-04-06,72.63,72.03,74.79,71.2,482940,-0.8261,3.59,29.56,1,-0.896,0,19.06,114.34
2000-04-07,72.03,73.0,73.18,71.85,14002967,1.3467,1.33,14.49,0,0.316,1,78.68,108.88
2000-04-10,73.0,72.26,74.25,70.87,11103330,-1.0137,3.38,23.61,1,0.29,0,45.67,96.54
2000-04-11,72.26,72.94,72.94,71.05,3043425,0.941,1.89,20.32,1,0.402,0,51.26,84.81
2000-04-12,72.94,73.16,74.4,71.68,17406732,0.3016,2.72,14.54,1,0.221,0,34.67,87.85
2000-04-13,73.16,72.95,74.04,72.4,17567911,-0.287,1.64,35.63,0,-0.149,1,70.63,99.7
2000-04-14,72.95,73.03,74.04,72.89,17940484,0.1097,1.15,17.85,0,-0.318,1,78.3,116.75
2000-04-17,73.03,72.26,73.61,71.7,5261350,-1.0544,1.91,17.43,0,0.81,0,66.32,119.3
2000-04-18,72.26,71.7,72.68,71.19,15837172,-0.775,1.49,22.17,0,-0.055,0,94.23,118.71
2000-04-19,71.7,70.27,72.4,69.85,1139804,-1.9944,2.55,19.71,0,0.885,0,56.92,113.91
2000-04-20,70.27,69.58,70.66,69.4,3196115,-0.9819,1.26,32.03,1,-0.406,0,70.25,81.64
2000-04-21,69.58,69.62,70.04,68.35,19298908,0.0575,1.69,10.62,0,0.361,0,50.89,118.85
2000-04-24,69.62,68.13,70.09,67.6,13317075,-2.1402,2.49,27.67,1,-0.701,0,81.24,100.14
2000-04-25,68.13,64.73,68.57,63.82,16951515,-4.9905,4.75,36.35,0,0.832,0,89.58,81.02
2000-04-26,64.73,64.82,64.83,63.59,2375298,0.139,1.24,17.51,0,0.84,0,17.63,109.53
2000-04-27,64.82,64.26,64.99,64.23,3723382,-0.8639,0.76,16.0,1,-0.933,1,61.11,107.99
2000-04-28,64.26,63.02,66.47,61.87,7556997,-1.9297,4.6,46.23,0,-0.508,0,77.28,107.66
2000-05-01,63.02,62.67,64.07,62.4,15461413,-0.5554,1.67,42.8,1,0.448,0,48.34,95.66
2000-05-02,62.67,63.41,65.87,62.11,18102048,1.1808,3.76,20.22,0,0.937,0,83.91,102.38
2000-05-03,63.41,63.38,65.61,62.51,19325252,-0.0473,3.1,43.4,1,-0.379,1,23.12,83.94
2000-05-04,63.38,64.13,64.26,63.26,17639103,1.1833,1.0,45.45,1,0.033,1,91.09,119.74
2000-05-05,64.13,64.24,66.73,63.95,15956637,0.1715,2.78,14.59,1,0.107,1,21.53,108.47
2000-05-08,64.24,63.46,64.68,62.14,1497332,-1.2142,2.54,40.09,0,-0.462,1,11.26,111.64
2000-05-09,63.46,64.89,65.34,63.14,14202921,2.2534,2.2,30.94,1,0.708,1,38.45,92.73
2000-05-10,64.89,65.5,66.23,64.12,10330018,0.9401,2.11,39.09,0,0.93,0,12.35,83.57
2000-05-11,65.5,67.23,68.39,64.44,2338439,2.6412,3.95,38.48,1,0.412,1,57.39,107.69
2000-05-12,67.23,67.62,68.95,66.8,18898269,0.5801,2.15,28.5,1,-0.608,1,62.83,115.91
2000-05-15,67.62,67.44,70.04,66.97,2122715,-0.2662,3.07,10.65,1,0.135,0,55.58,99.42
2000-05-16,67.44,66.5,67.5,66.41,11489399,-1.3938,1.09,36.65,1,0.214,0,87.99,86.95
2000-05-17,66.5,67.22,67.57,65.12,3987387,1.0827,2.45,33.68,1,-0.811,1,76.85,104.45
2000-05-18,67.22,66.02,68.34,65.53,15678473,-1.7852,2.81,29.5,1,0.603,1,87.4,108.33
2000-05-19,66.02,66.58,66.73,64.94,8800832,0.8482,1.79,37.66,0,0.191,1,22.96,107.35
2000-05-22,66.58,65.77,67.04,65.32,15759116,-1.2166,1.72,32.59,1,0.064,0,78.57,114.69
2000-05-23,65.77,66.95,67.21,65.31,11042944,1.7941,1.9,24.07,1,-0.235,0,51.82,85.46
2000-05-24,66.95,66.61,67.18,65.66,2457535,-0.5078,1.52,41.77,1,0.871,0,44.5,88.84
2000-05-25,66.61,65.99,68.43,65.17,8285974,-0.9308,3.26,39.62,1,-0.972,1,12.81,105.87
2000-05-26,65.99,65.49,66.11,64.44,1799930,-0.7577,1.67,33.34,0,-0.634,0,63.14,91.93
2000-05-29,65.49,65.67,66.14,64.69,19773552,0.2749,1.45,30.63,1,0.621,1,98.87,110.04
2000-05-30,65.67,65.01,65.86,64.5,7405669,-1.005,1.36,35.81,1,-0.664,0,88.37,95.09
2000-05-31,65.01,64.92,65.67,64.63,18816513,-0.1384,1.04,34.47,1,-0.92,1,76.46,98.47
2000-06-01,64.92,64.58,65.89,64.14,4071740,-0.5237,1.75,18.28,0,-0.877,0,46.93,97.16
2000-06-02,64.58,65.12,66.9,63.77,13669349,0.8362,3.13,16.49,1,0.484,1,64.06,92.13
2000-06-05,65.12,64.88,65.4,63.82,9874598,-0.3686,1.58,20.18,1,-0.225,1,59.77,101.81
2000-06-06,64.88,63.65,65.69,63.47,18834143,-1.8958,2.22,24.4,1,0.495,1,33.43,111.77
2000-06-07,63.65,65.21,66.28,63.13,1166835,2.4509,3.15,44.36,0,0.196,0,52.23,93.39
2000-06-08,65.21,65.49,66.0,63.4,14151514,0.4294,2.6,14.42,0,0.796,1,65.01,114.6
2000-06-09,65.49,66.79,67.04,65.29,11108024,1.985,1.75,36.8,0,0.97,1,82.65,89.7
2000-06-12,66.79,65.1,66.97,63.3,17939882,-2.5303,3.67,14.57,1,-0.069,0,1.91,99.34
2000-06-13,65.1,65.01,66.09,64.99,10745427,-0.1382,1.1,24.95,0,0.789,1,74.8,90.78
2000-06-14,65.01,65.61,65.87,64.0,10228224,0.9229,1.87,25.9,0,-0.906,0,97.7,104.97
2000-06-15,65.61,66.41,66.73,63.8,15540361,1.2193,2.93,38.66,1,-0.966,1,60.92,103.07
2000-06-16,66.41,66.67,67.69,66.12,260521,0.3915,1.57,45.64,1,-0.008,1,61.06,115.99
2000-06-19,66.67,66.34,67.91,65.68,1065012,-0.495,2.23,35.57,1,0.878,0,78.04,83.99
2000-06-20,66.34,66.61,67.38,66.1,9153105,0.407,1.28,46.16,0,0.157,0,34.77,80.57
2000-06-21,66.61,67.55,69.68,65.83,3689725,1.4112,3.85,25.12,0,-0.686,0,32.62,102.35
2000-06-22,67.55,67.87,69.08,66.46,17258715,0.4737,2.62,40.24,1,0.436,1,16.56,118.81
2000-06-23,67.87,67.48,68.08,67.12,5084095,-0.5746,0.96,32.96,1,0.469,1,29.35,119.33
2000-06-26,67.48,66.69,68.61,65.95,5867177,-1.1707,2.66,40.48,1,-0.23,1,79.16,102.34
2000-06-27,66.69,67.75,68.75,66.18,14434526,1.5894,2.57,37.2,1,0.393,1,62.66,101.22
2000-06-28,67.75,68.37,68.69,67.68,8578037,0.9151,1.01,24.02,0,0.698,1,94.8,100.42
2000-06-29,68.37,68.19,68.38,68.1,15792208,-0.2633,0.28,31.89,1,-0.875,0,34.28,98.46
2000-06-30,68.19,67.31,68.85,67.22,682261,-1.2905,1.63,49.11,0,-0.4,1,10.68,116.64
2000-07-03,67.31,66.44,67.68,64.97,11601690,-1.2925,2.71,36.06,0,0.087,1,59.74,98.38
2000-07-04,66.44,66.1,67.25,65.03,7970524,-0.5117,2.22,37.58,1,0.743,1,15.32,104.54
2000-07-05,66.1,67.84,68.42,65.97,19916692,2.6324,2.45,19.02,1,0.539,1,31.6,108.97
2000-07-06,67.84,67.37,68.41,66.35,8365778,-0.6928,2.06,32.29,1,-0.26,0,29.11,100.02
2000-07-07,67.37,69.99,70.25,66.12,14715291,3.889,4.13,20.43,0,-0.206,0,57.76,119.07
2000-07-10,69.99,68.97,70.8,68.82,9116414,-1.4574,1.98,40.17,0,-0.704,0,11.47,115.64
2000-07-11,68.97,68.88,69.61,67.1,13298960,-0.1305,2.51,39.42,1,0.39,1,64.78,91.59
2000-07-12,68.88,68.49,69.24,68.22,2217614,-0.5662,1.02,41.49,1,-0.452,0,9.46,109.45
2000-07-13,68.49,69.78,70.37,67.35,17892638,1.8835,3.02,10.09,0,-0.802,1,98.02,117.17
2000-07-14,69.78,69.19,70.0,68.69,1648181,-0.8455,1.31,37.28,1,0.598,1,80.37,99.38
2000-07-17,69.19,66.11,69.92,65.48,15751609,-4.4515,4.44,17.12,0,-0.812,1,73.11,105.48
2000-07-18,66.11,67.07,67.16,65.99,5382981,1.4521,1.17,10.49,1,0.404,0,49.83,118.38
2000-07-19,67.07,65.03,67.54,63.84,6064425,-3.0416,3.7,42.51,1,-0.798,1,72.04,89.19
2000-07-20,65.03,66.38,67.19,64.12,14456411,2.076,3.07,45.07,0,-0.471,1,39.12,99.49
2000-07-21,66.38,67.13,67.47,66.16,16223589,1.1299,1.31,44.24,0,0.283,0,30.97,104.05
2000-07-24,67.13,67.24,69.71,66.2,19516346,0.1639,3.51,10.16,0,0.163,0,32.73,118.15
2000-07-25,67.24,66.29,67.39,65.26,837754,-1.4128,2.13,11.16,1,-0.006,0,94.5,99.87
2000-07-26,66.29,64.5,66.84,64.44,11944458,-2.7003,2.4,39.85,1,0.551,0,83.94,117.3
2000-07-27,64.5,64.61,64.98,63.89,9743241,0.1705,1.09,45.46,0,0.498,0,35.99,93.98
2000-07-28,64.61,64.42,64.69,63.66,9081112,-0.2941,1.03,12.62,0,0.92,0,54.2,80.58
2000-07-31,64.42,63.69,64.59,63.5,11884115,-1.1332,1.09,38.89,1,-0.682,1,11.62,86.06
2000-08-01,63.69,65.08,65.52,62.74,7268127,2.1824,2.78,33.41,0,0.661,1,79.59,115.47
2000-08-02,65.08,64.93,65.1,64.47,19943568,-0.2305,0.63,26.75,0,-0.609,1,15.15,95.67
2000-08-03,64.93,64.54,66.18,64.28,3637770,-0.6006,1.9,38.87,0,-0.833,1,43.17,98.89
2000-08-04,64.54,66.05,67.23,62.96,12647467,2.3396,4.27,44.02,1,-0.98,0,80.38,82.73
2000-08-07,66.05,65.42,66.82,64.6,12302388,-0.9538,2.22,40.89,1,0.281,0,71.52,100.67
2000-08-08,65.42,65.76,66.06,65.01,6725201,0.5197,1.05,34.04,0,0.54,0,35.99,116.53
2000-08-09,65.76,64.68,66.71,63.29,3443328,-1.6423,3.42,16.54,1,-0.636,1,7.4,109.24
2000-08-10,64.68,64.2,66.09,63.95,15003761,-0.7421,2.14,13.87,1,0.692,0,20.42,83.87
2000-08-11,64.2,63.87,65.08,62.97,1289986,-0.514,2.11,23.5,0,-0.683,1,41.3,105.46
2000-08-14,63.87,61.28,65.09,59.53,1683269,-4.0551,5.56,23.86,1,-0.588,1,23.78,84.3
2000-08-15,61.28,62.24,62.65,60.84,10992723,1.5666,1.81,28.4,1,-0.334,1,32.09,102.2
2000-08-16,62.24,62.38,65.53,61.24,8057167,0.2249,4.29,22.42,1,0.999,1,85.89,100.94
2000-08-17,62.38,64.0,65.01,60.6,14704534,2.597,4.41,28.02,0,0.177,1,71.43,102.55
2000-08-18,64.0,64.29,66.0,63.49,5808997,0.4531,2.51,49.82,0,-0.352,0,78.76,88.62
2000-08-21,64.29,64.25,65.55,63.74,9417130,-0.0622,1.81,25.8,0,-0.189,1,98.18,119.07
2000-08-22,64.25,63.8,64.39,63.33,3945916,-0.7004,1.06,23.96,0,0.438,0,26.38,111.05
2000-08-23,63.8,64.8,65.02,62.44,6000683,1.5674,2.58,28.76,0,-0.637,1,37.03,92.33
2000-08-24,64.8,63.8,66.18,63.57,552175,-1.5432,2.61,38.56,1,-0.592,0,47.56,88.34
2000-08-25,63.8,65.44,66.26,63.02,6890894,2.5705,3.24,44.76,0,-0.434,0,75.91,89.94
2000-08-28,65.44,63.47,67.37,61.79,18272502,-3.0104,5.58,24.71,0,0.153,1,99.68,109.64
2000-08-29,63.47,63.1,65.83,61.97,16469800,-0.583,3.86,40.35,1,-0.429,0,82.31,107.62
2000-08-30,63.1,63.48,63.85,62.86,12190146,0.6022,0.99,11.77,0,0.184,1,15.59,84.78
2000-08-31,63.48,63.88,65.87,62.72,12406762,0.6301,3.15,33.67,0,0.277,0,48.82,119.84
2000-09-01,63.88,64.26,64.28,63.8,19489918,0.5949,0.48,43.84,1,0.033,0,4.49,90.85
2000-09-04,64.26,64.07,64.68,63.95,4265281,-0.2957,0.73,17.23,1,0.612,1,53.49,83.66
2000-09-05,64.07,62.33,65.05,61.98,4002436,-2.7158,3.07,34.07,1,0.217,0,68.48,89.82
2000-09-06,62.33,63.16,63.31,61.48,13993797,1.3316,1.83,48.44,1,-0.527,0,23.74,111.56
2000-09-07,63.16,63.33,64.04,62.77,10911292,0.2692,1.27,15.64,0,0.965,0,59.01,84.36
2000-09-08,63.33,63.75,64.1,61.62,8955064,0.6632,2.48,44.67,1,-0.012,0,64.48,84.2
2000-09-11,63.75,63.35,64.02,62.13,15886470,-0.6275,1.89,39.33,1,-0.934,0,0.95,85.26
2000-09-12,63.35,61.75,64.44,60.57,6763772,-2.5257,3.87,22.83,1,-0.628,0,61.17,116.53
2000-09-13,61.75,61.9,61.94,59.97,7913828,0.2429,1.97,42.74,1,0.367,0,96.89,116.38
2000-09-14,61.9,61.83,62.34,60.35,8376311,-0.1131,1.99,38.25,0,-0.763,1,86.39,98.43
2000-09-15,61.83,62.51,65.99,61.69,13403971,1.0998,4.3,38.89,0,-0.195,0,19.56,84.85
2000-09-18,62.51,62.22,63.49,60.31,7863834,-0.4639,3.18,44.17,0,-0.57,0,41.29,117.64
2000-09-19,62.22,64.02,64.34,61.87,8528629,2.893,2.47,22.77,0,0.0,0,57.76,102.44
2000-09-20,64.02,64.83,65.53,63.06,1309613,1.2652,2.47,46.33,1,-0.947,1,1.18,111.61
2000-09-21,64.83,63.97,64.84,63.29,15694937,-1.3265,1.55,18.44,0,-0.731,0,60.9,108.17
2000-09-22,63.97,64.37,64.72,63.17,2797987,0.6253,1.55,21.36,1,0.755,1,51.29,107.54
2000-09-25,64.37,63.89,65.65,63.34,8474014,-0.7457,2.31,25.06,0,-0.733,1,87.86,93.81
2000-09-26,63.89,66.12,66.3,63.21,2461454,3.4904,3.09,37.81,1,-0.263,1,3.51,85.13
2000-09-27,66.12,65.89,66.23,65.27,12342845,-0.3479,0.96,12.99,0,-0.602,0,17.56,105.5
2000-09-28,65.89,65.17,65.9,64.66,14216889,-1.0927,1.24,20.07,1,-0.982,1,67.2,83.79
2000-09-29,65.17,63.34,65.84,63.2,9638124,-2.808,2.64,27.06,0,-0.892,1,20.69,94.25
2000-10-02,63.34,64.36,65.48,63.21,19816976,1.6104,2.27,24.14,0,0.582,1,19.17,102.96
2000-10-03,64.36,63.95,65.75,63.74,17321182,-0.637,2.01,48.03,0,0.436,0,27.66,119.28
2000-10-04,63.95,63.27,64.33,63.04,9206580,-1.0633,1.29,16.37,0,-0.11,0,33.71,119.66
2000-10-05,63.27,62.68,66.3,60.79,15871109,-0.9325,5.51,12.29,0,0.791,1,10.5,105.93
2000-10-06,62.68,61.36,62.97,60.71,6588403,-2.1059,2.26,27.31,1,-0.698,0,37.54,115.0
2000-10-09,61.36,61.99,62.28,61.03,13929498,1.0267,1.25,15.39,0,-0.862,0,37.15,111.37
2000-10-10,61.99,61.7,62.07,60.8,8951939,-0.4678,1.27,30.44,0,0.566,0,46.85,110.62
2000-10-11,61.7,60.38,62.63,59.56,9441522,-2.1394,3.07,12.06,1,-0.959,0,29.99,84.18
2000-10-12,60.38,61.01,61.3,58.71,17837529,1.0434,2.59,46.9,1,-0.719,1,22.14,119.62
2000-10-13,61.01,60.64,61.65,59.39,12156731,-0.6065,2.26,21.91,0,-0.287,0,35.25,118.39
2000-10-16,60.64,61.02,61.21,60.03,5478383,0.6266,1.18,23.01,1,-0.621,1,93.12,90.29
2000-10-17,61.02,61.1,62.25,60.43,16541787,0.1311,1.82,29.19,1,0.291,1,43.34,103.9
2000-10-18,61.1,62.0,62.46,60.5,15026315,1.473,1.96,20.15,1,-0.056,0,55.25,107.45
2000-10-19,62.0,61.23,62.4,61.0,9237288,-1.2419,1.4,20.47,1,0.549,1,39.41,94.83
2000-10-20,61.23,61.05,61.7,59.31,8522420,-0.294,2.39,44.53,1,-0.038,0,94.26,95.16
2000-10-23,61.05,61.55,62.72,59.34,11821541,0.819,3.38,45.29,1,-0.626,0,70.58,118.84
2000-10-24,61.55,60.98,61.79,59.76,15192280,-0.9261,2.03,12.27,0,-0.6,1,67.91,91.0
2000-10-25,60.98,59.83,62.25,59.82,18821771,-1.8859,2.43,18.34,1,-0.186,0,77.87,115.09
2000-10-26,59.83,59.42,60.41,59.21,14153663,-0.6853,1.2,30.83,0,0.096,1,97.31,109.91
2000-10-27,59.42,60.01,60.21,57.13,1005641,0.9929,3.08,49.8,0,0.441,0,95.1,100.88
2000-10-30,60.01,58.65,60.7,58.29,8905314,-2.2663,2.41,48.0,0,-0.451,1,24.71,93.73
2000-10-31,58.65,60.0,60.96,57.35,15782100,2.3018,3.61,39.72,1,-0.395,0,22.54,84.42
2000-11-01,60.0,62.01,62.2,58.31,18914031,3.35,3.89,28.16,0,0.637,1,18.51,96.27
2000-11-02,62.01,62.81,64.41,59.44,263140,1.2901,4.97,45.31,0,0.334,1,7.81,92.87
2000-11-03,62.81,64.73,65.1,62.45,9757635,3.0568,2.65,32.45,0,0.467,0,48.04,111.27
2000-11-06,64.73,65.38,65.65,63.32,10470892,1.0042,2.33,15.06,1,0.581,1,95.72,116.56
2000-11-07,65.38,65.78,67.72,65.09,6304446,0.6118,2.63,22.81,0,-0.85,1,54.42,102.11
2000-11-08,65.78,66.62,68.04,65.47,18924333,1.277,2.57,46.3,0,-0.973,1,10.6,117.94
2000-11-09,66.62,66.91,67.9,65.3,14056790,0.4353,2.6,49.1,1,0.548,0,90.38,88.24
2000-11-10,66.91,65.84,67.48,63.83,8036096,-1.5992,3.65,44.43,1,0.089,0,59.99,98.47
2000-11-13,65.84,67.56,67.62,65.31,8273222,2.6124,2.31,22.53,1,0.15,0,9.65,112.13
2000-11-14,67.56,69.32,69.71,66.43,235793,2.6051,3.28,44.88,1,0.786,1,34.28,112.15
2000-11-15,69.32,70.47,71.92,69.32,6425441,1.659,2.6,11.65,1,0.913,0,6.4,110.81
2000-11-16,70.47,70.22,71.31,69.03,1114716,-0.3548,2.28,40.76,0,0.722,1,33.51,92.3
2000-11-17,70.22,70.91,71.18,69.76,12345817,0.9826,1.42,47.66,0,-0.524,0,23.4,109.65
2000-11-20,70.91,71.74,71.78,70.87,10752544,1.1705,0.91,20.63,0,0.101,1,82.13,81.47
2000-11-21,71.74,73.24,74.24,70.8,14671750,2.0909,3.44,10.58,1,-0.539,0,46.89,81.51
2000-11-22,73.24,72.7,73.43,71.54,15871433,-0.7373,1.89,42.35,1,-0.235,0,67.67,99.56
2000-11-23,72.7,73.33,74.02,72.39,12460878,0.8666,1.63,22.33,1,-0.424,0,32.97,118.5
2000-11-24,73.33,74.01,74.61,73.3,980542,0.9273,1.31,16.19,0,0.04,0,9.18,80.07
2000-11-27,74.01,74.78,75.81,73.36,17954359,1.0404,2.45,14.9,0,0.136,0,52.37,97.9
2000-11-28,74.78,75.28,75.9,73.66,19638786,0.6686,2.24,11.59,0,0.065,1,60.93,80.11
2000-11-29,75.28,74.95,75.5,74.29,18288159,-0.4384,1.21,47.8,0,-0.879,1,31.8,105.41
2000-11-30,74.95,73.27,75.46,72.3,5738886,-2.2415,3.16,37.6,1,-0.226,1,88.85,97.43
2000-12-01,73.27,72.77,74.2,72.18,16647554,-0.6824,2.02,26.44,1,-0.345,0,32.01,87.37
2000-12-04,72.77,72.65,73.59,71.84,8783376,-0.1649,1.75,38.75,1,-0.13,1,31.81,91.21
2000-12-05,72.65,72.51,73.37,72.45,6060673,-0.1927,0.92,38.35,0,-0.06,1,2.13,98.02
